"countryname","region","indicator","value"
"afghanistan","South Asia","deaths.1000.live.births",101.3
"afghanistan","South Asia","years",54.4
"afghanistan","South Asia","deaths.100000.live.births",521
"albania","Europe","deaths.1000.live.births",10.3
"albania","Europe","years",79.9
"albania","Europe","deaths.100000.live.births",7
"algeria","Africa","deaths.1000.live.births",18.7
"algeria","Africa","years",77.9
"algeria","Africa","deaths.100000.live.births",62
"american-samoa","Australia and Oceania","deaths.1000.live.births",9.7
"american-samoa","Australia and Oceania","years",75.8
"american-samoa","Australia and Oceania","deaths.100000.live.births",NA
"andorra","Europe","deaths.1000.live.births",3.3
"andorra","Europe","years",83.8
"andorra","Europe","deaths.100000.live.births",11
"angola","Africa","deaths.1000.live.births",55.6
"angola","Africa","years",62.9
"angola","Africa","deaths.100000.live.births",183
"anguilla","Central America and the Caribbean","deaths.1000.live.births",3
"anguilla","Central America and the Caribbean","years",82.6
"anguilla","Central America and the Caribbean","deaths.100000.live.births",NA
"antigua-and-barbuda","Central America and the Caribbean","deaths.1000.live.births",13.6
"antigua-and-barbuda","Central America and the Caribbean","years",78.3
"antigua-and-barbuda","Central America and the Caribbean","deaths.100000.live.births",35
"argentina","South America","deaths.1000.live.births",9
"argentina","South America","years",78.8
"argentina","South America","deaths.100000.live.births",33
"armenia","Central Asia","deaths.1000.live.births",11.6
"armenia","Central Asia","years",76.7
"armenia","Central Asia","deaths.100000.live.births",19
"aruba","Central America and the Caribbean","deaths.1000.live.births",11.5
"aruba","Central America and the Caribbean","years",78.5
"aruba","Central America and the Caribbean","deaths.100000.live.births",NA
"australia","Australia and Oceania","deaths.1000.live.births",2.9
"australia","Australia and Oceania","years",83.5
"australia","Australia and Oceania","deaths.100000.live.births",2
"austria","Europe","deaths.1000.live.births",3.2
"austria","Europe","years",82.7
"austria","Europe","deaths.100000.live.births",6
"azerbaijan","Central Asia","deaths.1000.live.births",10.9
"azerbaijan","Central Asia","years",75.9
"azerbaijan","Central Asia","deaths.100000.live.births",18
"bahamas-the","Central America and the Caribbean","deaths.1000.live.births",9.4
"bahamas-the","Central America and the Caribbean","years",76.7
"bahamas-the","Central America and the Caribbean","deaths.100000.live.births",76
"bahrain","Middle East","deaths.1000.live.births",9.7
"bahrain","Middle East","years",80.4
"bahrain","Middle East","deaths.100000.live.births",17
"bangladesh","South Asia","deaths.1000.live.births",28.8
"bangladesh","South Asia","years",75.2
"bangladesh","South Asia","deaths.100000.live.births",115
"barbados","Central America and the Caribbean","deaths.1000.live.births",9.6
"barbados","Central America and the Caribbean","years",79
"barbados","Central America and the Caribbean","deaths.100000.live.births",35
"belarus","Europe","deaths.1000.live.births",2.1
"belarus","Europe","years",74.7
"belarus","Europe","deaths.100000.live.births",1
"belgium","Europe","deaths.1000.live.births",3.1
"belgium","Europe","years",82.3
"belgium","Europe","deaths.100000.live.births",4
"belize","Central America and the Caribbean","deaths.1000.live.births",11.3
"belize","Central America and the Caribbean","years",74.3
"belize","Central America and the Caribbean","deaths.100000.live.births",67
"benin","Africa","deaths.1000.live.births",52.9
"benin","Africa","years",63
"benin","Africa","deaths.100000.live.births",518
"bermuda","North America","deaths.1000.live.births",2.1
"bermuda","North America","years",82.5
"bermuda","North America","deaths.100000.live.births",NA
"bhutan","South Asia","deaths.1000.live.births",24.3
"bhutan","South Asia","years",73.7
"bhutan","South Asia","deaths.100000.live.births",47
"bolivia","South America","deaths.1000.live.births",22.3
"bolivia","South America","years",72.5
"bolivia","South America","deaths.100000.live.births",146
"bosnia-and-herzegovina","Europe","deaths.1000.live.births",5
"bosnia-and-herzegovina","Europe","years",78.5
"bosnia-and-herzegovina","Europe","deaths.100000.live.births",6
"botswana","Africa","deaths.1000.live.births",23.7
"botswana","Africa","years",66.4
"botswana","Africa","deaths.100000.live.births",155
"brazil","South America","deaths.1000.live.births",12.9
"brazil","South America","years",76.3
"brazil","South America","deaths.100000.live.births",67
"british-virgin-islands","Central America and the Caribbean","deaths.1000.live.births",13.4
"british-virgin-islands","Central America and the Caribbean","years",80.1
"british-virgin-islands","Central America and the Caribbean","deaths.100000.live.births",NA
"brunei","East and Southeast Asia","deaths.1000.live.births",10
"brunei","East and Southeast Asia","years",78.9
"brunei","East and Southeast Asia","deaths.100000.live.births",36
"bulgaria","Europe","deaths.1000.live.births",7.7
"bulgaria","Europe","years",76.1
"bulgaria","Europe","deaths.100000.live.births",6
"burkina-faso","Africa","deaths.1000.live.births",47
"burkina-faso","Africa","years",64.2
"burkina-faso","Africa","deaths.100000.live.births",242
"burma","East and Southeast Asia","deaths.1000.live.births",32.1
"burma","East and Southeast Asia","years",70.3
"burma","East and Southeast Asia","deaths.100000.live.births",185
"burundi","Africa","deaths.1000.live.births",35.7
"burundi","Africa","years",68.1
"burundi","Africa","deaths.100000.live.births",392
"cabo-verde","Africa","deaths.1000.live.births",22.4
"cabo-verde","Africa","years",74.3
"cabo-verde","Africa","deaths.100000.live.births",40
"cambodia","East and Southeast Asia","deaths.1000.live.births",27.9
"cambodia","East and Southeast Asia","years",71.4
"cambodia","East and Southeast Asia","deaths.100000.live.births",137
"cameroon","Africa","deaths.1000.live.births",46.1
"cameroon","Africa","years",64.2
"cameroon","Africa","deaths.100000.live.births",258
"canada","North America","deaths.1000.live.births",4.3
"canada","North America","years",84.2
"canada","North America","deaths.100000.live.births",12
"cayman-islands","Central America and the Caribbean","deaths.1000.live.births",7.3
"cayman-islands","Central America and the Caribbean","years",82.5
"cayman-islands","Central America and the Caribbean","deaths.100000.live.births",NA
"central-african-republic","Africa","deaths.1000.live.births",80.5
"central-african-republic","Africa","years",56.4
"central-african-republic","Africa","deaths.100000.live.births",692
"chad","Africa","deaths.1000.live.births",62.5
"chad","Africa","years",60
"chad","Africa","deaths.100000.live.births",748
"chile","South America","deaths.1000.live.births",6.3
"chile","South America","years",80.3
"chile","South America","deaths.100000.live.births",10
"china","East and Southeast Asia","deaths.1000.live.births",6.2
"china","East and Southeast Asia","years",78.7
"china","East and Southeast Asia","deaths.100000.live.births",16
"colombia","South America","deaths.1000.live.births",11.7
"colombia","South America","years",74.9
"colombia","South America","deaths.100000.live.births",59
"comoros","Africa","deaths.1000.live.births",54.9
"comoros","Africa","years",67.8
"comoros","Africa","deaths.100000.live.births",179
"congo-democratic-republic-of-the","Africa","deaths.1000.live.births",57.4
"congo-democratic-republic-of-the","Africa","years",62.6
"congo-democratic-republic-of-the","Africa","deaths.100000.live.births",427
"congo-republic-of-the","Africa","deaths.1000.live.births",30.6
"congo-republic-of-the","Africa","years",72.9
"congo-republic-of-the","Africa","deaths.100000.live.births",241
"cook-islands","Australia and Oceania","deaths.1000.live.births",15.1
"cook-islands","Australia and Oceania","years",77.6
"cook-islands","Australia and Oceania","deaths.100000.live.births",0
"costa-rica","Central America and the Caribbean","deaths.1000.live.births",6.7
"costa-rica","Central America and the Caribbean","years",80.3
"costa-rica","Central America and the Caribbean","deaths.100000.live.births",24
"cote-divoire","Africa","deaths.1000.live.births",52.5
"cote-divoire","Africa","years",63.2
"cote-divoire","Africa","deaths.100000.live.births",359
"croatia","Europe","deaths.1000.live.births",8.4
"croatia","Europe","years",77.7
"croatia","Europe","deaths.100000.live.births",3
"cuba","Central America and the Caribbean","deaths.1000.live.births",4
"cuba","Central America and the Caribbean","years",80.1
"cuba","Central America and the Caribbean","deaths.100000.live.births",35
"curacao","Central America and the Caribbean","deaths.1000.live.births",7.5
"curacao","Central America and the Caribbean","years",79.9
"curacao","Central America and the Caribbean","deaths.100000.live.births",NA
"cyprus","Europe","deaths.1000.live.births",8.1
"cyprus","Europe","years",80.2
"cyprus","Europe","deaths.100000.live.births",14
"czechia","Europe","deaths.1000.live.births",2.6
"czechia","Europe","years",78.6
"czechia","Europe","deaths.100000.live.births",3
"denmark","Europe","deaths.1000.live.births",3
"denmark","Europe","years",82.1
"denmark","Europe","deaths.100000.live.births",4
"djibouti","Africa","deaths.1000.live.births",45.2
"djibouti","Africa","years",65.9
"djibouti","Africa","deaths.100000.live.births",162
"dominica","Central America and the Caribbean","deaths.1000.live.births",10.7
"dominica","Central America and the Caribbean","years",78.7
"dominica","Central America and the Caribbean","deaths.100000.live.births",36
"dominican-republic","Central America and the Caribbean","deaths.1000.live.births",21.7
"dominican-republic","Central America and the Caribbean","years",72.6
"dominican-republic","Central America and the Caribbean","deaths.100000.live.births",124
"ecuador","South America","deaths.1000.live.births",11.2
"ecuador","South America","years",74.9
"ecuador","South America","deaths.100000.live.births",55
"egypt","Africa","deaths.1000.live.births",16.8
"egypt","Africa","years",75
"egypt","Africa","deaths.100000.live.births",17
"el-salvador","Central America and the Caribbean","deaths.1000.live.births",11.7
"el-salvador","Central America and the Caribbean","years",75.9
"el-salvador","Central America and the Caribbean","deaths.100000.live.births",39
"equatorial-guinea","Africa","deaths.1000.live.births",77.4
"equatorial-guinea","Africa","years",63.9
"equatorial-guinea","Africa","deaths.100000.live.births",174
"eritrea","Africa","deaths.1000.live.births",39.8
"eritrea","Africa","years",67.5
"eritrea","Africa","deaths.100000.live.births",291
"estonia","Europe","deaths.1000.live.births",3.3
"estonia","Europe","years",78.4
"estonia","Europe","deaths.100000.live.births",5
"eswatini","Africa","deaths.1000.live.births",36.7
"eswatini","Africa","years",60.7
"eswatini","Africa","deaths.100000.live.births",118
"ethiopia","Africa","deaths.1000.live.births",32.6
"ethiopia","Africa","years",67.7
"ethiopia","Africa","deaths.100000.live.births",195
"faroe-islands","Europe","deaths.1000.live.births",5.7
"faroe-islands","Europe","years",81.7
"faroe-islands","Europe","deaths.100000.live.births",NA
"fiji","Australia and Oceania","deaths.1000.live.births",9.7
"fiji","Australia and Oceania","years",74.8
"fiji","Australia and Oceania","deaths.100000.live.births",30
"finland","Europe","deaths.1000.live.births",2.1
"finland","Europe","years",82.2
"finland","Europe","deaths.100000.live.births",8
"france","Europe","deaths.1000.live.births",3.1
"france","Europe","years",82.6
"france","Europe","deaths.100000.live.births",7
"french-polynesia","Australia and Oceania","deaths.1000.live.births",4.3
"french-polynesia","Australia and Oceania","years",78.9
"french-polynesia","Australia and Oceania","deaths.100000.live.births",NA
"gabon","Africa","deaths.1000.live.births",26.9
"gabon","Africa","years",70.4
"gabon","Africa","deaths.100000.live.births",233
"gambia-the","Africa","deaths.1000.live.births",35.7
"gambia-the","Africa","years",68.4
"gambia-the","Africa","deaths.100000.live.births",354
"gaza-strip","Middle East","deaths.1000.live.births",15.1
"gaza-strip","Middle East","years",75.5
"gaza-strip","Middle East","deaths.100000.live.births",16
"georgia","Central Asia","deaths.1000.live.births",21.7
"georgia","Central Asia","years",72.8
"georgia","Central Asia","deaths.100000.live.births",20
"germany","Europe","deaths.1000.live.births",3.1
"germany","Europe","years",81.9
"germany","Europe","deaths.100000.live.births",4
"ghana","Africa","deaths.1000.live.births",31.2
"ghana","Africa","years",70.1
"ghana","Africa","deaths.100000.live.births",234
"gibraltar","Europe","deaths.1000.live.births",6
"gibraltar","Europe","years",80.9
"gibraltar","Europe","deaths.100000.live.births",NA
"greece","Europe","deaths.1000.live.births",3.4
"greece","Europe","years",81.9
"greece","Europe","deaths.100000.live.births",5
"greenland","North America","deaths.1000.live.births",8.5
"greenland","North America","years",74.5
"greenland","North America","deaths.100000.live.births",NA
"grenada","Central America and the Caribbean","deaths.1000.live.births",9
"grenada","Central America and the Caribbean","years",76.3
"grenada","Central America and the Caribbean","deaths.100000.live.births",48
"guam","Australia and Oceania","deaths.1000.live.births",10.9
"guam","Australia and Oceania","years",78
"guam","Australia and Oceania","deaths.100000.live.births",NA
"guatemala","Central America and the Caribbean","deaths.1000.live.births",25
"guatemala","Central America and the Caribbean","years",73.5
"guatemala","Central America and the Caribbean","deaths.100000.live.births",94
"guernsey","Europe","deaths.1000.live.births",3.3
"guernsey","Europe","years",83.6
"guernsey","Europe","deaths.100000.live.births",NA
"guinea","Africa","deaths.1000.live.births",47
"guinea","Africa","years",64.6
"guinea","Africa","deaths.100000.live.births",494
"guinea-bissau","Africa","deaths.1000.live.births",46.4
"guinea-bissau","Africa","years",64.5
"guinea-bissau","Africa","deaths.100000.live.births",505
"guyana","South America","deaths.1000.live.births",21.1
"guyana","South America","years",72.4
"guyana","South America","deaths.100000.live.births",75
"haiti","Central America and the Caribbean","deaths.1000.live.births",36.8
"haiti","Central America and the Caribbean","years",65.6
"haiti","Central America and the Caribbean","deaths.100000.live.births",328
"honduras","Central America and the Caribbean","deaths.1000.live.births",15.4
"honduras","Central America and the Caribbean","years",73.1
"honduras","Central America and the Caribbean","deaths.100000.live.births",47
"hong-kong","East and Southeast Asia","deaths.1000.live.births",2.5
"hong-kong","East and Southeast Asia","years",84
"hong-kong","East and Southeast Asia","deaths.100000.live.births",NA
"hungary","Europe","deaths.1000.live.births",4.7
"hungary","Europe","years",76
"hungary","Europe","deaths.100000.live.births",12
"iceland","Europe","deaths.1000.live.births",1.6
"iceland","Europe","years",84
"iceland","Europe","deaths.100000.live.births",3
"india","South Asia","deaths.1000.live.births",30.4
"india","South Asia","years",68.2
"india","South Asia","deaths.100000.live.births",80
"indonesia","East and Southeast Asia","deaths.1000.live.births",18.9
"indonesia","East and Southeast Asia","years",73.6
"indonesia","East and Southeast Asia","deaths.100000.live.births",140
"iran","Middle East","deaths.1000.live.births",14.3
"iran","Middle East","years",75.6
"iran","Middle East","deaths.100000.live.births",16
"iraq","Middle East","deaths.1000.live.births",18.7
"iraq","Middle East","years",73.7
"iraq","Middle East","deaths.100000.live.births",66
"ireland","Europe","deaths.1000.live.births",3.3
"ireland","Europe","years",82
"ireland","Europe","deaths.100000.live.births",4
"isle-of-man","Europe","deaths.1000.live.births",4.1
"isle-of-man","Europe","years",82.5
"isle-of-man","Europe","deaths.100000.live.births",NA
"israel","Middle East","deaths.1000.live.births",2.8
"israel","Middle East","years",83.1
"israel","Middle East","deaths.100000.live.births",2
"italy","Europe","deaths.1000.live.births",3.1
"italy","Europe","years",83
"italy","Europe","deaths.100000.live.births",6
"jamaica","Central America and the Caribbean","deaths.1000.live.births",10.7
"jamaica","Central America and the Caribbean","years",76.3
"jamaica","Central America and the Caribbean","deaths.100000.live.births",130
"japan","East and Southeast Asia","deaths.1000.live.births",1.9
"japan","East and Southeast Asia","years",85.2
"japan","East and Southeast Asia","deaths.100000.live.births",3
"jersey","Europe","deaths.1000.live.births",3.7
"jersey","Europe","years",83
"jersey","Europe","deaths.100000.live.births",NA
"jordan","Middle East","deaths.1000.live.births",13.2
"jordan","Middle East","years",76.5
"jordan","Middle East","deaths.100000.live.births",31
"kazakhstan","Central Asia","deaths.1000.live.births",8
"kazakhstan","Central Asia","years",73.3
"kazakhstan","Central Asia","deaths.100000.live.births",10
"kenya","Africa","deaths.1000.live.births",26.1
"kenya","Africa","years",70.4
"kenya","Africa","deaths.100000.live.births",379
"kiribati","Australia and Oceania","deaths.1000.live.births",31.5
"kiribati","Australia and Oceania","years",68.5
"kiribati","Australia and Oceania","deaths.100000.live.births",80
"korea-north","East and Southeast Asia","deaths.1000.live.births",15.4
"korea-north","East and Southeast Asia","years",73.5
"korea-north","East and Southeast Asia","deaths.100000.live.births",67
"korea-south","East and Southeast Asia","deaths.1000.live.births",2.8
"korea-south","East and Southeast Asia","years",83.4
"korea-south","East and Southeast Asia","deaths.100000.live.births",4
"kosovo","Europe","deaths.1000.live.births",22.9
"kosovo","Europe","years",73.1
"kosovo","Europe","deaths.100000.live.births",NA
"kuwait","Middle East","deaths.1000.live.births",7.2
"kuwait","Middle East","years",79.6
"kuwait","Middle East","deaths.100000.live.births",8
"kyrgyzstan","Central Asia","deaths.1000.live.births",24.5
"kyrgyzstan","Central Asia","years",72.9
"kyrgyzstan","Central Asia","deaths.100000.live.births",42
"laos","East and Southeast Asia","deaths.1000.live.births",35.4
"laos","East and Southeast Asia","years",69
"laos","East and Southeast Asia","deaths.100000.live.births",112
